User_ID,Install_Date,Campaign_ID,Device,Country,Age_Group,App_Version
U00190,2024-01-25,C002,iOS,USA,55+,v2.4
U00191,2024-05-01,C001,Android,UK,18-24,v2.4
U00192,2024-02-03,C003,Android,Canada,25-34,v2.2
U00193,2024-03-31,C006,Android,USA,45-54,v2.1
U00194,2024-03-14,C004,iOS,Canada,18-24,v2.4
U00195,2024-02-27,C005,iOS,Canada,18-24,v2.2
U00196,2024-02-27,C005,Android,Singapore,45-54,v2.3
U00197,2024-06-13,C003,Android,Australia,35-44,v2.1
U00198,2024-03-10,C004,iOS,USA,18-24,v2.4
U00199,2024-05-24,C004,iOS,Germany,55+,v2.1
U00200,2024-05-15,C001,iOS,USA,25-34,v2.4
U00201,2024-05-25,C004,Android,UK,35-44,v2.1
U00202,2024-01-21,C002,Android,USA,25-34,v2.2
U00203,2024-05-11,C001,iOS,USA,35-44,v2.3
U00204,2024-06-19,C002,iOS,Singapore,18-24,v2.2
U00205,2024-02-24,C004,Android,USA,18-24,v2.3
U00206,2024-04-20,C001,iOS,Australia,25-34,v2.4
U00207,2024-03-31,C001,Android,UK,18-24,v2.4
U00208,2024-03-21,C003,iOS,Australia,25-34,v2.2
U00209,2024-01-06,C006,iOS,India,25-34,v2.4
U00210,2024-04-02,C001,Android,UK,35-44,v2.3
U00211,2024-04-11,C006,Android,UK,35-44,v2.1
U00212,2024-06-11,C001,iOS,India,25-34,v2.4
U00213,2024-06-14,C005,iOS,UK,18-24,v2.3
U00214,2024-06-16,C001,Android,Canada,25-34,v2.3
U00215,2024-05-28,C002,Android,Canada,35-44,v2.3
U00216,2024-06-09,C002,iOS,USA,35-44,v2.4
U00217,2024-05-31,C001,iOS,USA,25-34,v2.1
U00218,2024-03-14,C001,Android,France,35-44,v2.3
U00219,2024-04-28,C003,Android,Germany,18-24,v2.4
U00220,2024-05-26,C004,iOS,USA,18-24,v2.1
U00221,2024-01-27,C005,Android,Singapore,18-24,v2.3
U00222,2024-01-11,C001,iOS,USA,25-34,v2.2
U00223,2024-04-05,C006,iOS,Germany,35-44,v2.1
U00224,2024-06-10,C004,iOS,UK,35-44,v2.2
U00225,2024-06-17,C006,Android,UK,18-24,v2.4
U00226,2024-03-30,C002,Android,Australia,18-24,v2.4
U00227,2024-01-22,C002,iOS,Germany,45-54,v2.4
U00228,2024-06-24,C006,iOS,Australia,25-34,v2.1
U00229,2024-03-20,C001,iOS,India,25-34,v2.2
U00230,2024-02-05,C001,iOS,Germany,25-34,v2.3
U00231,2024-05-14,C001,iOS,Germany,18-24,v2.3
U00232,2024-02-11,C001,Android,Canada,45-54,v2.4
U00233,2024-01-12,C002,Android,UK,25-34,v2.2
U00234,2024-04-24,C001,iOS,Singapore,35-44,v2.4
U00235,2024-02-19,C002,Android,Singapore,25-34,v2.2
U00236,2024-04-07,C003,iOS,UK,18-24,v2.3
U00237,2024-03-05,C001,iOS,USA,55+,v2.4
U00238,2024-05-12,C005,iOS,Germany,25-34,v2.4
U00239,2024-02-07,C005,iOS,India,45-54,v2.4
U00240,2024-01-07,C002,iOS,USA,25-34,v2.1
U00241,2024-02-27,C001,Android,France,35-44,v2.4
U00242,2024-02-05,C001,Android,USA,45-54,v2.4
U00243,2024-04-30,C002,iOS,UK,25-34,v2.4
U00244,2024-05-20,C006,Android,USA,35-44,v2.2
U00245,2024-02-01,C001,iOS,Germany,25-34,v2.2
U00246,2024-05-07,C004,iOS,USA,18-24,v2.2
U00247,2024-04-19,C001,iOS,Canada,18-24,v2.4
U00248,2024-05-14,C006,iOS,USA,25-34,v2.4
U00249,2024-05-21,C001,Android,UK,25-34,v2.3
U00250,2024-01-05,C002,iOS,UK,35-44,v2.2
U00251,2024-05-28,C004,iOS,UK,25-34,v2.4
U00252,2024-02-14,C005,Android,Singapore,25-34,v2.2
U00253,2024-02-04,C001,Android,USA,25-34,v2.1
U00254,2024-02-21,C006,iOS,USA,25-34,v2.4
U00255,2024-05-01,C002,Android,UK,25-34,v2.4
U00256,2024-06-16,C002,iOS,USA,45-54,v2.4
U00257,2024-04-08,C002,iOS,Australia,25-34,v2.4
U00258,2024-03-09,C005,Android,UK,35-44,v2.4
U00259,2024-05-19,C002,iOS,USA,25-34,v2.3
U00260,2024-04-19,C001,iOS,USA,35-44,v2.4
U00261,2024-06-06,C006,iOS,Singapore,55+,v2.1
U00262,2024-06-12,C002,iOS,Germany,18-24,v2.1
U00263,2024-06-04,C004,iOS,UK,18-24,v2.3
U00264,2024-04-02,C002,iOS,Canada,35-44,v2.4
U00265,2024-04-05,C002,iOS,UK,25-34,v2.3
U00266,2024-03-12,C001,iOS,Germany,25-34,v2.3
U00267,2024-05-23,C001,Android,Australia,18-24,v2.3
U00268,2024-06-26,C006,iOS,UK,45-54,v2.3
U00269,2024-04-23,C006,Android,Singapore,55+,v2.4
U00270,2024-06-30,C001,iOS,India,45-54,v2.4
U00271,2024-06-28,C004,Android,USA,18-24,v2.2
U00272,2024-02-05,C001,iOS,USA,35-44,v2.3
U00273,2024-05-21,C001,Android,UK,25-34,v2.4
U00274,2024-05-02,C003,Android,France,18-24,v2.4
U00275,2024-06-13,C001,iOS,USA,18-24,v2.4
U00276,2024-05-21,C004,iOS,Singapore,25-34,v2.4
U00277,2024-01-15,C005,iOS,USA,18-24,v2.4
U00278,2024-02-27,C002,Android,India,45-54,v2.2
U00279,2024-06-11,C006,iOS,Canada,35-44,v2.1
U00280,2024-06-13,C001,Android,UK,35-44,v2.4
U00281,2024-06-03,C002,Android,UK,45-54,v2.1
U00282,2024-06-13,C005,iOS,UK,35-44,v2.3
U00283,2024-01-08,C003,Android,USA,55+,v2.3
U00284,2024-06-24,C002,iOS,Australia,18-24,v2.3
U00285,2024-04-28,C001,Android,USA,35-44,v2.4
U00286,2024-03-29,C006,iOS,USA,25-34,v2.3
U00287,2024-04-29,C001,iOS,UK,18-24,v2.4
U00288,2024-06-06,C002,Android,India,45-54,v2.4
U00289,2024-03-21,C001,iOS,Singapore,25-34,v2.4
U00290,2024-05-07,C001,Android,USA,55+,v2.2
U00291,2024-03-31,C001,iOS,Canada,45-54,v2.4
U00292,2024-03-14,C003,Android,USA,45-54,v2.4
U00293,2024-04-13,C002,iOS,Canada,18-24,v2.3
U00294,2024-01-19,C002,iOS,USA,45-54,v2.3
U00295,2024-06-05,C001,Android,USA,45-54,v2.3
U00296,2024-04-03,C004,iOS,USA,25-34,v2.1
U00297,2024-02-05,C004,Android,USA,18-24,v2.4
U00298,2024-02-05,C002,Android,UK,55+,v2.4
U00299,2024-03-17,C004,iOS,USA,25-34,v2.3
U00300,2024-05-01,C005,iOS,Australia,55+,v2.3
U00301,2024-06-25,C004,Android,USA,35-44,v2.4
U00302,2024-05-28,C003,Android,Canada,18-24,v2.3
U00303,2024-06-07,C005,iOS,France,18-24,v2.3
U00304,2024-06-28,C001,iOS,USA,18-24,v2.4
U00305,2024-04-15,C003,Android,USA,45-54,v2.4
U00306,2024-06-29,C001,iOS,USA,35-44,v2.3
U00307,2024-03-21,C006,iOS,USA,25-34,v2.4
U00308,2024-06-23,C004,Android,Canada,18-24,v2.2
U00309,2024-05-22,C002,Android,Singapore,35-44,v2.4
U00310,2024-06-25,C004,iOS,USA,55+,v2.4
U00311,2024-03-11,C002,iOS,USA,45-54,v2.3
U00312,2024-03-29,C006,Android,USA,25-34,v2.4
U00313,2024-03-29,C006,Android,Germany,18-24,v2.4
U00314,2024-03-10,C006,Android,UK,35-44,v2.3
U00315,2024-03-03,C001,Android,UK,18-24,v2.2
U00316,2024-03-25,C004,iOS,Germany,18-24,v2.3
U00317,2024-02-10,C002,Android,France,25-34,v2.2
U00318,2024-03-14,C002,Android,India,18-24,v2.3
U00319,2024-05-16,C004,Android,UK,55+,v2.3
U00320,2024-02-15,C006,iOS,France,35-44,v2.2
U00321,2024-03-15,C006,iOS,Canada,18-24,v2.4
U00322,2024-03-13,C002,Android,USA,45-54,v2.2
U00323,2024-05-09,C002,iOS,UK,18-24,v2.3
U00324,2024-03-06,C004,iOS,USA,25-34,v2.4
U00325,2024-02-19,C001,Android,India,45-54,v2.3
U00326,2024-01-23,C002,iOS,Singapore,25-34,v2.4
U00327,2024-01-02,C002,iOS,Germany,55+,v2.3
U00328,2024-05-26,C001,Android,Australia,18-24,v2.2
U00329,2024-03-19,C001,Android,India,45-54,v2.4
U00330,2024-06-25,C001,Android,USA,35-44,v2.2
U00331,2024-02-04,C003,iOS,Singapore,25-34,v2.4
U00332,2024-04-30,C004,Android,France,35-44,v2.4
U00333,2024-06-01,C006,iOS,USA,35-44,v2.1
U00334,2024-05-24,C001,Android,India,18-24,v2.3
U00335,2024-02-12,C002,iOS,UK,18-24,v2.3
U00336,2024-01-24,C006,iOS,UK,18-24,v2.3
U00337,2024-05-24,C001,iOS,Germany,35-44,v2.3
U00338,2024-01-01,C004,iOS,UK,25-34,v2.1
U00339,2024-01-16,C006,iOS,India,18-24,v2.3
U00340,2024-02-04,C004,Android,Canada,25-34,v2.4
U00341,2024-04-07,C002,Android,USA,18-24,v2.4
U00342,2024-05-18,C001,Android,UK,55+,v2.3
U00343,2024-02-02,C004,iOS,UK,18-24,v2.2
U00344,2024-06-21,C004,iOS,USA,18-24,v2.3
U00345,2024-02-09,C002,Android,Australia,18-24,v2.4
U00346,2024-04-17,C004,Android,India,18-24,v2.1
U00347,2024-06-01,C001,Android,Australia,18-24,v2.4
U00348,2024-04-12,C002,iOS,Germany,35-44,v2.2
U00349,2024-03-15,C001,Android,Canada,35-44,v2.4
U00350,2024-03-23,C001,Android,Singapore,25-34,v2.3
U00351,2024-03-11,C001,Android,France,45-54,v2.3
U00352,2024-04-19,C003,iOS,USA,35-44,v2.3
U00353,2024-05-14,C002,iOS,UK,25-34,v2.4
U00354,2024-05-01,C001,iOS,France,18-24,v2.3
U00355,2024-01-15,C003,Android,Canada,18-24,v2.2
U00356,2024-02-22,C002,iOS,USA,25-34,v2.3
U00357,2024-02-18,C001,iOS,Canada,18-24,v2.1
U00358,2024-05-30,C004,iOS,USA,45-54,v2.3
U00359,2024-01-04,C001,iOS,Germany,35-44,v2.4
U00360,2024-03-03,C004,Android,USA,18-24,v2.3
U00361,2024-03-13,C002,iOS,USA,25-34,v2.3
U00362,2024-05-07,C002,Android,Australia,35-44,v2.3
U00363,2024-02-22,C002,iOS,Canada,18-24,v2.2
U00364,2024-03-07,C003,Android,Australia,25-34,v2.2
U00365,2024-02-28,C002,Android,USA,35-44,v2.4
U00366,2024-03-06,C004,iOS,Australia,35-44,v2.3
U00367,2024-03-31,C001,Android,USA,45-54,v2.3
U00368,2024-06-13,C006,iOS,France,18-24,v2.4
U00369,2024-01-13,C004,iOS,France,18-24,v2.4
U00370,2024-01-03,C001,iOS,UK,35-44,v2.4
U00371,2024-05-03,C004,iOS,USA,25-34,v2.1
U00372,2024-03-11,C003,iOS,USA,35-44,v2.3
U00373,2024-02-15,C001,iOS,UK,18-24,v2.3
U00374,2024-03-31,C002,iOS,USA,25-34,v2.3
U00375,2024-06-27,C001,Android,France,35-44,v2.4
U00376,2024-01-09,C001,iOS,Canada,18-24,v2.1
U00377,2024-02-13,C001,Android,Canada,25-34,v2.4
U00378,2024-01-25,C006,Android,UK,45-54,v2.4
U00379,2024-05-25,C003,iOS,UK,55+,v2.4
U00380,2024-05-24,C004,iOS,France,18-24,v2.2
U00381,2024-02-06,C004,Android,USA,18-24,v2.2
U00382,2024-03-02,C003,Android,Australia,25-34,v2.3
U00383,2024-02-05,C005,Android,UK,35-44,v2.3
U00384,2024-01-26,C002,Android,USA,35-44,v2.4
U00385,2024-04-11,C006,iOS,Canada,35-44,v2.3
U00386,2024-02-28,C002,Android,USA,35-44,v2.4
U00387,2024-01-22,C005,iOS,UK,18-24,v2.2
U00388,2024-04-07,C004,Android,Germany,25-34,v2.2
U00389,2024-01-02,C006,iOS,Germany,18-24,v2.1
U00390,2024-04-20,C002,iOS,USA,18-24,v2.3
U00391,2024-01-24,C004,Android,France,18-24,v2.3
U00392,2024-01-22,C004,iOS,Singapore,18-24,v2.3
U00393,2024-06-24,C002,iOS,USA,25-34,v2.1
U00394,2024-04-21,C002,iOS,Germany,25-34,v2.4
U00395,2024-06-09,C003,Android,USA,18-24,v2.1
U00396,2024-04-11,C002,Android,Germany,25-34,v2.3
U00397,2024-06-15,C006,iOS,USA,55+,v2.2
U00398,2024-03-21,C001,iOS,USA,35-44,v2.3
U00399,2024-05-27,C005,iOS,USA,35-44,v2.3
U00400,2024-05-24,C001,Android,UK,35-44,v2.1
U00401,2024-04-28,C006,iOS,Germany,45-54,v2.1
U00402,2024-04-14,C004,iOS,USA,25-34,v2.2
U00403,2024-04-18,C005,iOS,Singapore,25-34,v2.3
U00404,2024-05-09,C006,Android,USA,18-24,v2.4
U00405,2024-06-28,C006,iOS,Canada,18-24,v2.4
U00406,2024-06-17,C004,iOS,Canada,25-34,v2.3
U00407,2024-06-14,C002,Android,Singapore,25-34,v2.1
U00408,2024-03-07,C001,Android,Canada,35-44,v2.2
U00409,2024-04-05,C002,Android,Canada,25-34,v2.3
U00410,2024-01-07,C003,iOS,India,18-24,v2.4
U00411,2024-02-06,C002,iOS,Germany,25-34,v2.3
U00412,2024-01-25,C002,Android,USA,25-34,v2.4
U00413,2024-01-30,C001,iOS,UK,45-54,v2.4
U00414,2024-03-03,C003,iOS,USA,25-34,v2.3
U00415,2024-04-13,C004,iOS,Australia,25-34,v2.4
U00416,2024-02-20,C002,iOS,UK,18-24,v2.2
U00417,2024-06-29,C005,iOS,UK,45-54,v2.2
U00418,2024-03-24,C001,iOS,Australia,25-34,v2.4
U00419,2024-03-21,C004,Android,Canada,25-34,v2.4
U00420,2024-06-07,C001,Android,Germany,45-54,v2.3
U00421,2024-06-21,C001,iOS,USA,18-24,v2.4
U00422,2024-05-10,C002,Android,Canada,25-34,v2.3
U00423,2024-05-17,C004,Android,Singapore,25-34,v2.3
U00424,2024-02-05,C001,Android,Canada,45-54,v2.4
U00425,2024-05-04,C001,Android,Singapore,25-34,v2.3
U00426,2024-06-24,C003,Android,USA,18-24,v2.3
U00427,2024-02-26,C002,iOS,USA,18-24,v2.3
U00428,2024-05-06,C003,iOS,UK,35-44,v2.4
U00429,2024-04-03,C003,Android,Germany,25-34,v2.2
U00430,2024-04-18,C001,Android,Germany,25-34,v2.4
U00431,2024-04-25,C002,Android,UK,45-54,v2.2
U00432,2024-03-01,C001,Android,Australia,45-54,v2.3
U00433,2024-04-19,C001,iOS,UK,18-24,v2.1
U00434,2024-03-30,C003,Android,UK,55+,v2.2
U00435,2024-05-26,C002,Android,Singapore,35-44,v2.1
U00436,2024-04-15,C006,Android,France,18-24,v2.4
U00437,2024-03-04,C001,iOS,UK,45-54,v2.3
U00438,2024-02-06,C003,iOS,USA,25-34,v2.3
U00439,2024-01-24,C002,Android,Australia,45-54,v2.3
U00440,2024-05-04,C002,iOS,Germany,35-44,v2.4
U00441,2024-04-27,C004,Android,France,45-54,v2.3
U00442,2024-04-19,C005,iOS,USA,25-34,v2.3
U00443,2024-02-03,C003,iOS,USA,35-44,v2.1
U00444,2024-01-26,C004,Android,UK,55+,v2.2
U00445,2024-04-26,C001,Android,UK,35-44,v2.2
U00446,2024-06-15,C002,Android,France,18-24,v2.3
U00447,2024-01-22,C002,Android,UK,25-34,v2.3
U00448,2024-06-28,C004,iOS,UK,18-24,v2.2
U00449,2024-01-20,C001,iOS,Australia,18-24,v2.4
U00450,2024-01-31,C006,iOS,UK,18-24,v2.3
U00451,2024-01-27,C001,iOS,USA,25-34,v2.4
U00452,2024-02-04,C004,Android,UK,25-34,v2.3
U00453,2024-02-12,C002,Android,Canada,18-24,v2.3
U00454,2024-06-24,C002,iOS,India,18-24,v2.2
U00455,2024-04-08,C002,iOS,Germany,18-24,v2.3
U00456,2024-03-04,C003,Android,Canada,35-44,v2.4
U00457,2024-06-17,C006,iOS,Canada,18-24,v2.3
U00458,2024-06-14,C001,Android,Singapore,25-34,v2.2
U00459,2024-05-07,C004,iOS,India,18-24,v2.3
U00460,2024-03-22,C001,Android,Canada,25-34,v2.4
U00461,2024-04-30,C006,Android,UK,18-24,v2.2
U00462,2024-01-11,C006,Android,USA,25-34,v2.4
U00463,2024-04-16,C002,iOS,Canada,25-34,v2.2
U00464,2024-01-22,C002,iOS,UK,45-54,v2.3
U00465,2024-04-10,C003,Android,Canada,35-44,v2.3
U00466,2024-04-21,C004,Android,UK,18-24,v2.3
U00467,2024-04-26,C004,iOS,Australia,35-44,v2.2
